0,Otro,
1,Calderon,
2,Carcelen,
3,El Condado,
4,Ponceano,
5,Comité del Pueblo,
6,Cotocollao,
7,San Isidro del Inca,
8,Kennedy,
9,La Concepción,
10,Cochapamba,
11,Jipijapa,
12,Rumipamba,
13,Iñaquito,
14,Belisario Quevedo,
15,Mariscal Sucre,
16,San Juan,
17,Itchimbia,
18,Centro Historico,
19,La Libertad,
20,Puengasí,
21,Chimbacalle,
22,La Magdalena,
23,Chilibulo,
24,La Ferroviaria,
25,San Bartolo,
26,La Mena,
27,La Argelia,
28,Solanda,
29,Quitumbe,
30,Chillogallo,
31,La Ecuatoriana,
32,Turubamba,
33,Guamani,
